RespondentID,In which industry does your business compete?,Other (please specify),Accounting,Business Administration/Business Management,Economics,Finance,Marketing,Bachelor's Degree in Accounting,Bachelor's Degree in Business Administration or Business Management,Bachelor's Degree in Economics,Bachelor's Degree in Finance,Bachelor's Degree in Marketing,MBA with a Bachelor's Degree in Accounting,MBA with a Bachelor's Degree in Business Administration/Business Management,MBA with a Bachelor's Degree in Economics,MBA with a Bachelor's Degree in Finance,MBA with a Bachelor's Degree in Marketing
3358085333,Manufacturing,,5,5,5,5,5,3,3,4,5,4,4,4,4,4,4
3347231259,Other (please specify),"Healthcare, Financial & Customer Service.",4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
3344940626,Accommodations and Food Services,,4,4,4,4,5,3,4,2,2,4,2,2,2,2,2
3338545976,Manufacturing,,5,4,4,4,2,4,3,3,4,3,4,4,4,4,4
3336637404,Manufacturing,,5,5,4,5,4,5,5,4,4,3,4,4,3,4,3
3336166493,Retail Trade,,4,5,3,5,3,4,4,4,4,3,3,3,3,4,3
3336006088,Wholesale Trade,,5,5,5,5,5,4,5,3,3,3,3,5,3,4,4
3335926960,Manufacturing,,5,3,3,5,3,5,3,3,4,3,5,3,3,4,3
3335005371,Retail Trade,,4,5,4,4,4,3,5,3,2,2,3,5,3,4,3
3334850384,Health Care and Social Assistance,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3334835644,"Real Estate, Property Management, Rental",,4,3,3,4,,3,3,3,3,3,3,3,3,3,3
3334833418,"Professional Services (Accounting, Legal, Engineering, Marketing)",,5,3,3,3,1,5,3,3,3,1,5,3,3,3,1
3334535207,Retail Trade,,4,5,4,4,5,3,5,4,4,5,3,5,5,3,5
3334296372,Health Care and Social Assistance,,2,5,4,2,3,2,4,2,2,3,2,5,2,3,3
3334252150,Financial Institution/Insurance/Financial Services,,5,,,,,5,,,,,5,,,,
3329808253,Health Care and Social Assistance,,2,5,4,2,2,2,5,4,4,2,2,5,4,4,4
3329580120,"Professional Services (Accounting, Legal, Engineering, Marketing)",,3,5,3,3,3,3,4,3,3,3,3,3,3,3,3
3329536689,Health Care and Social Assistance,,4,4,3,3,3,4,4,3,3,3,4,4,3,3,3
3329496231,Other (please specify),Agriculture,4,5,4,5,4,3,4,3,4,3,3,4,3,4,3
3328824914,Financial Institution/Insurance/Financial Services,,5,5,5,5,2,5,5,4,5,2,5,5,5,5,2
3328059998,Other (please specify),"Financial assistance and health care, child support, community health and social services",4,4,4,4,4,3,3,3,3,3,3,3,3,,3
3327165404,Other (please specify),Trucking leasing and sales,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3
3325536221,Financial Institution/Insurance/Financial Services,,4,4,4,5,5,3,5,3,5,5,3,3,3,3,3
3323465381,Retail Trade,,3,5,2,2,4,2,5,2,2,4,2,5,3,3,4
3319811938,Retail Trade,,3,4,3,3,4,3,4,4,3,4,3,3,3,3,3
3319565998,"Arts, Entertainment, and Recreation",,3,4,3,3,4,3,4,3,3,4,3,4,3,3,4
3319393333,Manufacturing,,4,5,4,4,3,4,5,3,4,3,4,5,3,3,3
3319301239,Retail Trade,,4,5,4,4,4,4,4,4,4,4,5,5,5,5,5
3319273969,Retail Trade,,4,5,4,4,5,4,5,4,4,5,5,5,5,4,4
3319208706,Retail Trade,,2,4,4,4,4,3,3,3,3,3,3,3,3,3,3
3318995974,"Arts, Entertainment, and Recreation",,4,5,5,4,4,4,5,5,4,4,4,5,5,4,4
3318972754,Other Services,,4,5,5,5,4,4,5,5,4,4,4,5,5,4,4
3318972029,"Real Estate, Property Management, Rental",,4,5,4,4,4,4,5,4,4,4,4,5,4,4,4
3318842937,Financial Institution/Insurance/Financial Services,,4,4,4,5,4,4,5,4,5,4,4,5,4,5,4
3316460909,Manufacturing,,5,4,4,5,,4,3,3,4,3,3,4,3,5,5
3314862914,Financial Institution/Insurance/Financial Services,,5,5,4,5,5,4,4,4,5,5,3,3,3,3,3
3314346280,Manufacturing,,4,5,4,4,4,4,5,4,4,4,5,5,5,5,5
3312507688,Financial Institution/Insurance/Financial Services,,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
3312462773,Educational Services,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3312422356,Other (please specify),communications,3,5,4,3,5,3,4,4,3,4,3,4,3,3,3
3311382520,Manufacturing,,4,5,5,4,4,3,4,4,3,3,3,4,4,3,3
3310335665,Manufacturing,,5,5,4,5,5,5,5,4,4,5,5,5,4,4,5
3309532568,Educational Services,,5,5,2,5,5,5,5,3,5,5,5,5,3,5,
3306404432,Financial Institution/Insurance/Financial Services,,4,4,4,5,3,4,3,3,5,4,3,3,3,3,3
3305136016,Other Services,,4,5,3,3,3,4,5,4,4,3,,5,4,4,3
3305074297,Financial Institution/Insurance/Financial Services,,5,5,4,5,4,4,4,2,5,2,5,5,2,5,2
3304900712,"Professional Services (Accounting, Legal, Engineering, Marketing)",,4,4,4,4,4,3,4,3,3,3,3,4,4,3,3
3304366554,Other (please specify),Publishing,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3
3304190219,Financial Institution/Insurance/Financial Services,,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5
3302327774,Health Care and Social Assistance,,4,5,4,4,4,3,3,3,3,3,3,4,3,3,3
3301789866,Other (please specify),Media - Daily Newspaper,3,3,4,3,4,3,4,3,3,4,3,3,3,3,3
3300522722,Other (please specify),Transportation,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3300416365,Health Care and Social Assistance,,4,4,4,4,4,4,5,4,4,4,4,5,5,5,5
3290327480,Health Care and Social Assistance,,4,5,3,4,4,4,5,4,4,4,4,5,4,4,4
3289866024,Government/Not-For-Profit,,4,4,3,4,3,4,4,3,4,2,4,4,3,4,2
3289668081,Health Care and Social Assistance,,4,5,3,4,3,3,5,4,3,3,3,4,4,3,3
3287692441,Manufacturing,,4,5,3,3,4,4,4,2,2,4,4,5,3,3,4
3287455067,Manufacturing,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3285500453,Health Care and Social Assistance,,5,5,4,5,5,5,5,4,5,4,5,5,4,4,4
3285438187,Government/Not-For-Profit,,5,5,3,5,4,5,4,2,5,2,5,3,2,5,3
3279963668,Health Care and Social Assistance,,4,5,3,4,4,4,5,3,4,4,4,5,3,4,4
3279215502,Manufacturing,,4,5,4,3,5,4,5,4,3,5,2,5,2,2,5
3279193635,Other (please specify),Distribution,4,4,4,4,4,3,5,3,3,4,3,5,4,4,4
3278824712,Government/Not-For-Profit,,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
3277762658,Retail Trade,,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5
3277423655,Other (please specify),Telecommunications,4,5,5,4,4,4,5,5,4,4,4,5,5,4,4
3277074458,Manufacturing,,2,5,2,4,4,3,3,3,3,4,3,5,3,3,4
3276981161,Financial Institution/Insurance/Financial Services,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3276789950,Government/Not-For-Profit,,3,5,4,3,4,4,5,4,4,4,4,5,5,4,5
3276777805,Other (please specify),Fulfillment/Printing,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3
3276726733,Government/Not-For-Profit,,3,5,3,4,4,3,5,3,4,4,3,5,3,4,4
3275170817,Other (please specify),Agriculture,5,5,5,5,4,5,5,4,5,4,5,5,4,5,4
3275093124,Manufacturing,,4,5,4,4,4,4,5,4,4,4,4,5,4,4,4
3275014681,Retail Trade,,3,4,3,3,4,3,3,3,3,4,3,3,3,3,3
3274980359,Educational Services,,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4
3274913575,Financial Institution/Insurance/Financial Services,,3,5,5,5,5,3,5,5,5,5,3,5,4,5,5
3274295629,Other (please specify),Staffing,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4
3274060746,Government/Not-For-Profit,,5,5,4,5,5,4,5,4,5,5,4,5,4,5,5
3272912812,Educational Services,,1,4,1,1,1,1,5,1,1,,,4,3,3,3
3269719264,Accommodations and Food Services,,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
3269375013,Government/Not-For-Profit,,,,,,,,,,,,,,,,
3269210811,"Real Estate, Property Management, Rental",,3,5,3,4,5,2,5,3,4,5,2,2,2,2,2
3269208438,Construction,,3,5,2,3,4,3,5,3,3,5,3,5,3,3,5
3268939829,Other (please specify),Staffing and Recruiting,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3268843543,Other (please specify),Temporary to Permanent Placement Staffing,4,5,4,4,5,4,5,4,4,5,4,5,4,4,5
3266749095,Wholesale Trade,,3,4,3,3,3,4,5,3,3,4,3,3,3,3,3
3266527983,"Arts, Entertainment, and Recreation",,4,5,5,4,5,3,5,5,3,4,4,5,5,4,4
3264592720,Manufacturing,,3,5,4,4,4,3,5,5,3,3,4,5,5,5,4
3264437356,Educational Services,,3,5,3,4,3,4,4,3,4,3,4,5,3,5,3
3262703782,Accommodations and Food Services,,4,5,4,4,4,3,5,3,3,3,3,5,3,3,3
3262429695,Retail Trade,,2,5,2,2,4,1,4,3,2,4,1,4,3,2,3
3261920130,Manufacturing,,4,5,4,5,4,4,5,5,5,4,4,5,5,5,4
3261633484,Retail Trade,,4,4,4,4,3,3,3,3,3,1,3,3,3,3,1
3261410347,Other (please specify),Wastewater treatment and collection - Government,3,3,2,2,1,4,5,3,2,2,2,2,2,2,2
3261337319,Other (please specify),Hospitality,5,5,4,4,4,4,5,4,4,4,5,5,5,5,5
3259556454,Retail Trade,,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
