ID,Industry,Money Range,Major,Class,Likert Score
3358085333,Manufacturing,"$100,000,000-$499,999,999",ACCOUNTING COURSES,Financial Accounting,5
3358085333,Manufacturing,"$100,000,000-$499,999,999",ACCOUNTING COURSES,Managerial/Cost Accounting,4
3358085333,Manufacturing,"$100,000,000-$499,999,999",ACCOUNTING COURSES,Auditing,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",ACCOUNTING COURSES,Business Income Tax,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",ACCOUNTING COURSES,Fraud Detection/Internal Controls,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",ACCOUNTING COURSES,Fund/Non-Profit Accounting,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",ACCOUNTING COURSES,Intermediate Level Financial Accounting,4
3358085333,Manufacturing,"$100,000,000-$499,999,999",ACCOUNTING COURSES,Advanced Financial Accounting,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",ACCOUNTING COURSES,Intermediate Level Managerial/Cost Accounting,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",ECONOMICS COURSES,Macroeconomics,4
3358085333,Manufacturing,"$100,000,000-$499,999,999",ECONOMICS COURSES,Microeconomics,4
3358085333,Manufacturing,"$100,000,000-$499,999,999",ECONOMICS COURSES,Business Statistics,5
3358085333,Manufacturing,"$100,000,000-$499,999,999",ECONOMICS COURSES,Econometrics,4
3358085333,Manufacturing,"$100,000,000-$499,999,999",ECONOMICS COURSES,International Economics,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",ECONOMICS COURSES,Intermediate Macroeconomics,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",ECONOMICS COURSES,Intermediate Microeconomics,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",FINANCE COURSES,Principles of Finance,5
3358085333,Manufacturing,"$100,000,000-$499,999,999",FINANCE COURSES,Employee Benefit Planning,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",FINANCE COURSES,Financial Analysis,4
3358085333,Manufacturing,"$100,000,000-$499,999,999",FINANCE COURSES,Insurance & Risk Management,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",FINANCE COURSES,Legal Aspects of Banking & Finance,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",FINANCE COURSES,Personal Financial Management,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",FINANCE COURSES,Securities Analysis,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",FINANCE COURSES,Short-Term Financial Management,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",MARKETING COURSES,Principles of Marketing,5
3358085333,Manufacturing,"$100,000,000-$499,999,999",MARKETING COURSES,Consumer Behavior,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",MARKETING COURSES,International Marketing,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",MARKETING COURSES,Internet Marketing,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",MARKETING COURSES,Marketing Management,4
3358085333,Manufacturing,"$100,000,000-$499,999,999",MARKETING COURSES,Marketing Research & Analysis,4
3358085333,Manufacturing,"$100,000,000-$499,999,999",MARKETING COURSES,Product and Pricing Strategy,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",MARKETING COURSES,Professional Selling,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",MARKETING COURSES,Promotional Strategy,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",MARKETING COURSES,Sales Management,4
3358085333,Manufacturing,"$100,000,000-$499,999,999",MANAGEMENT COURSES,Principles of Management,5
3358085333,Manufacturing,"$100,000,000-$499,999,999",MANAGEMENT COURSES,Business Intelligence/Data Mining/Decision Support Systems,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",MANAGEMENT COURSES,Business Internship,5
3358085333,Manufacturing,"$100,000,000-$499,999,999",MANAGEMENT COURSES,"Business Law - Contracts, Sales & Professional Responsibility",3
3358085333,Manufacturing,"$100,000,000-$499,999,999",MANAGEMENT COURSES,Business Law - Legal & Regulatory Environment,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",MANAGEMENT COURSES,Business Policy & Strategic Management,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",MANAGEMENT COURSES,Business Software Applications/Microsoft Office and Enterprise Resource Planning (ERP) software,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",MANAGEMENT COURSES,Human Resource Management,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",MANAGEMENT COURSES,Interdisciplinary Management Capstone Course,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",MANAGEMENT COURSES,International Business,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",MANAGEMENT COURSES,Management Information Systems (MIS),5
3358085333,Manufacturing,"$100,000,000-$499,999,999",MANAGEMENT COURSES,Organizational Behavior,4
3358085333,Manufacturing,"$100,000,000-$499,999,999",MANAGEMENT COURSES,Process Management,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",MANAGEMENT COURSES,Production/Operations Management,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",MANAGEMENT COURSES,Project Management,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",COMMUNICATIONS COURSES,Business Communications (oral and written),5
3358085333,Manufacturing,"$100,000,000-$499,999,999",COMMUNICATIONS COURSES,Business Ethics,5
3358085333,Manufacturing,"$100,000,000-$499,999,999",COMMUNICATIONS COURSES,Intercultural Communications,3
3358085333,Manufacturing,"$100,000,000-$499,999,999",COMMUNICATIONS COURSES,Interpersonal Communications,4
3358085333,Manufacturing,"$100,000,000-$499,999,999",COMMUNICATIONS COURSES,Leadership,5
3358085333,Manufacturing,"$100,000,000-$499,999,999",COMMUNICATIONS COURSES,Organizational Communication,5
3358085333,Manufacturing,"$100,000,000-$499,999,999",COMMUNICATIONS COURSES,Professionalism,5
3358085333,Manufacturing,"$100,000,000-$499,999,999",COMMUNICATIONS COURSES,Public Speaking,5
3358085333,Manufacturing,"$100,000,000-$499,999,999",COMMUNICATIONS COURSES,Small Group Communications,5
3347231259,Other Services,,ACCOUNTING COURSES,Financial Accounting,3
3347231259,Other Services,,ACCOUNTING COURSES,Managerial/Cost Accounting,3
3347231259,Other Services,,ACCOUNTING COURSES,Auditing,3
3347231259,Other Services,,ACCOUNTING COURSES,Business Income Tax,3
3347231259,Other Services,,ACCOUNTING COURSES,Fraud Detection/Internal Controls,
3347231259,Other Services,,ACCOUNTING COURSES,Fund/Non-Profit Accounting,3
3347231259,Other Services,,ACCOUNTING COURSES,Intermediate Level Financial Accounting,3
3347231259,Other Services,,ACCOUNTING COURSES,Advanced Financial Accounting,3
3347231259,Other Services,,ACCOUNTING COURSES,Intermediate Level Managerial/Cost Accounting,3
3347231259,Other Services,,ECONOMICS COURSES,Macroeconomics,3
3347231259,Other Services,,ECONOMICS COURSES,Microeconomics,3
3347231259,Other Services,,ECONOMICS COURSES,Business Statistics,3
3347231259,Other Services,,ECONOMICS COURSES,Econometrics,3
3347231259,Other Services,,ECONOMICS COURSES,International Economics,3
3347231259,Other Services,,ECONOMICS COURSES,Intermediate Macroeconomics,
3347231259,Other Services,,ECONOMICS COURSES,Intermediate Microeconomics,3
3347231259,Other Services,,FINANCE COURSES,Principles of Finance,3
3347231259,Other Services,,FINANCE COURSES,Employee Benefit Planning,3
3347231259,Other Services,,FINANCE COURSES,Financial Analysis,3
3347231259,Other Services,,FINANCE COURSES,Insurance & Risk Management,3
3347231259,Other Services,,FINANCE COURSES,Legal Aspects of Banking & Finance,3
3347231259,Other Services,,FINANCE COURSES,Personal Financial Management,3
3347231259,Other Services,,FINANCE COURSES,Securities Analysis,3
3347231259,Other Services,,FINANCE COURSES,Short-Term Financial Management,3
3347231259,Other Services,,MARKETING COURSES,Principles of Marketing,3
3347231259,Other Services,,MARKETING COURSES,Consumer Behavior,3
3347231259,Other Services,,MARKETING COURSES,International Marketing,3
3347231259,Other Services,,MARKETING COURSES,Internet Marketing,3
3347231259,Other Services,,MARKETING COURSES,Marketing Management,3
3347231259,Other Services,,MARKETING COURSES,Marketing Research & Analysis,
3347231259,Other Services,,MARKETING COURSES,Product and Pricing Strategy,3
3347231259,Other Services,,MARKETING COURSES,Professional Selling,3
3347231259,Other Services,,MARKETING COURSES,Promotional Strategy,3
3347231259,Other Services,,MARKETING COURSES,Sales Management,3
